ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Timepoint;Organoids Selected - Number of Objects;Organoids Selected - Cell Area [µm²] - Mean per Well;Organoids Selected - Cell Area [µm²] - StdDev per Well;Organoids Selected - Cell Area [µm²] - Sum per Well;Organoids Selected - Cell Area [µm²] - Max per Well;Organoids Selected - Cell Area [µm²] - Min per Well;Organoids Selected - Cell Area [µm²] - Median per Well;Organoids Selected - Cell Roundness - Mean per Well;Organoids Selected - Cell Roundness - StdDev per Well;Organoids Selected - Cell Roundness - Sum per Well;Organoids Selected - Cell Roundness - Max per Well;Organoids Selected - Cell Roundness - Min per Well;Organoids Selected - Cell Roundness - Median per Well;Organoids Selected - Intensity Cell Channel2 Mean - Mean per Well;Organoids Selected - Intensity Cell Channel2 Mean - StdDev per Well;Organoids Selected - Intensity Cell Channel2 Mean - Sum per Well;Organoids Selected - Intensity Cell Channel2 Mean - Max per Well;Organoids Selected - Intensity Cell Channel2 Mean - Min per Well;Organoids Selected - Intensity Cell Channel2 Mean - Median per Well;Number of Analyzed Fields;Link
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;68;5213.05260757;9836.31687351;354487.577315;82909.521457;1097.65286192;3546.34498842;0.808731922668;0.122582096015;54.9937707414;0.963226738761;0.121420046848;0.835397211968;4416.94810561;816.04389292;300352.471181;7928.72298267;2905.31620795;4312.53161823;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.1
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A2;1;2;1;88;6079.41052841;8940.98171979;534988.1265;65195.8955437;1297.80682704;4286.27587012;0.74152600865;0.168965362957;65.2542887612;0.929403816788;0.0236302837072;0.784367654205;3767.24959786;703.356884171;331517.964611;7674.83476591;2650.43699352;3659.82542433;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.2
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A3;1;3;1;74;4538.8422055;2574.8086107;335874.323207;15935.6624998;1196.66519573;4022.77530434;0.731000745437;0.188992684682;54.0940551623;0.938571796577;0.108322853273;0.773761678392;4001.78069912;809.069161697;296131.771735;6150.35781561;2759.09598031;3959.92574929;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.3
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A4;1;4;1;78;4382.88591957;3071.87402962;341865.101727;23669.2710245;1007.15771812;3996.15908557;0.69861805585;0.201635574484;54.4922083563;0.957596364641;0.17160764689;0.751954768907;3770.70153261;832.254751729;294114.719544;7118.31778517;2713.61593291;3626.0106828;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.4
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A5;1;5;1;81;4475.23130765;3623.09987008;362493.735919;30590.5525525;1040.16182939;3884.90329113;0.688710986121;0.202274520616;55.7855898758;0.96529898045;0.097450058967;0.726917382149;3595.7109565;751.119375827;291252.587477;5984.39316718;2617.70055113;3490.29345209;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.5
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A6;1;6;1;78;7583.00167455;14812.8989288;591474.130615;116497.060243;1406.40099961;4395.93469144;0.725156395184;0.211958331047;56.5621988244;0.949038968689;0.0989765214057;0.785292503727;3960.03769689;968.052280528;308882.940358;7284.6360758;2738.31343284;3712.07106933;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.6
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A7;1;7;1;87;5472.23339164;10352.6547092;476084.305073;98472.5568941;1049.74366814;3963.68729868;0.734087774028;0.182993144062;63.8656363404;1.00805361163;0.0958890468341;0.783923164223;3898.4232355;1073.62921345;339162.821489;11336.9828909;2912.95339179;3652.47163866;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.7
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A8;1;8;1;103;4643.59473091;10325.6763678;478290.257284;104966.914273;1002.89912311;3421.7810846;0.557398077203;0.212537262335;57.4120019519;0.95277634694;0.0659385520678;0.610189700452;3343.6460551;602.35043208;344395.543675;5215.69579288;2596.32890766;3259.99905891;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.8
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A9;1;9;1;96;6044.5765521;15514.1975047;580279.349002;152755.802744;1084.87707691;4406.58117895;0.63692751546;0.223631935302;61.1450414842;0.954126796327;0.0522465888054;0.684071669877;3722.00445659;1000.99379943;357312.427833;6120.63305052;2518.63581315;3577.9870646;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.9
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A10;1;10;1;95;6968.96658519;11660.3234624;662051.825593;112619.609493;1260.54412077;5004.91377681;0.70830602579;0.225895223322;67.2890724501;0.948502658115;0.106896497611;0.792079347863;4049.37879679;924.812548223;384690.985695;6540.06537047;2836.87527964;3890.65462428;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.10
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A11;1;11;1;110;6638.85925032;6700.94417203;730274.517535;48668.2883386;1063.5841019;5010.76934494;0.690358704908;0.234063913826;75.9394575399;0.954284841511;0.0933996001551;0.774114193663;3859.94341108;926.710041744;424593.775219;7223.2937389;2693.66384778;3715.40203122;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.11
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A12;1;12;1;86;5437.95346632;2631.48406895;467663.998104;16920.4625941;1118.94583694;5056.54924122;0.76402259208;0.170703968066;65.7059429188;0.980043816958;0.206788963188;0.815559735358;4163.99345583;950.967708065;358103.437202;7046.30479238;2815.82711864;4026.95203485;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.12
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A13;1;13;1;87;7684.41441005;18608.5109838;668544.053674;140109.904883;1026.32139563;4478.97729399;0.671880342218;0.220048347629;58.4535897729;0.942866515678;0.0758070125131;0.751895895131;3818.08470875;826.899681994;332173.369661;5842.34153999;2749.18217054;3786.37614399;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.13
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;79;9244.43943788;37690.7860283;730310.715592;339516.486583;1258.41482327;4791.98402668;0.704210730738;0.167945872244;55.6326477283;0.923810629023;0.189410916463;0.754183755633;3798.78962905;778.112123423;300104.380695;6637.1489686;2645.11505922;3719.76298549;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.14
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A15;1;15;1;76;3910.0906392;1796.98750865;297166.888579;9371.03830324;1068.90734565;4010.53184371;0.638429803239;0.196467376565;48.5206650461;0.905652282518;0.110650820064;0.702932517656;3380.76689265;640.627745473;256938.283841;5191.41151744;2580.23306894;3199.21351299;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.15
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A16;1;16;1;102;7759.41060034;26477.9326399;791459.881235;248047.189171;1150.88529945;4240.49597385;0.595245742671;0.206567107112;60.7150657524;0.901323065945;0.0685704947069;0.654850210133;3293.90721713;535.965561703;335978.536148;5429.05706626;2553.56327725;3156.81701218;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.16
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;69;4446.43607348;2348.33141643;306804.08907;10845.5768229;1590.58523347;3663.45635099;0.874356274695;0.0629731197797;60.330582954;0.957602403985;0.666632854372;0.879556962701;4427.63397731;608.080122743;305506.744434;6381.08956179;3655.2643909;4238.67800058;1;http://columbus.science.uu.nl/browse/measurement/4655/well=1.17
